season,week,team,cpoe,total_epa,rush_attempt_off,pass_attempt_off,rush_epa,pass_epa,rush_count,pass_count,total_count,rush_epa_per_play,pass_epa_per_play,off_total_epa_per_play,avg_ryoe,avg_pyoe,avg_yacoe,success_rate,expl_rush_rate,expl_pass_rate,allowed_epa,rush_attempt_def,pass_attempt_def,allowed_rush_epa,allowed_pass_epa,opp_rush_count,opp_pass_count,opp_total_count,allowed_rush_epa_per_play,allowed_pass_epa_per_play,def_total_epa_per_play,allowed_avg_ryoe,allowed_avg_pyoe,allowed_avg_yacoe,opp_success_rate,allowed_expl_rush_rate,allowed_expl_pass_rate,off_turnover_rate,def_turnover_forced_rate,off_voa_week,def_voa_week,off_voa_cum,def_voa_cum,off_dvoa_cum,def_dvoa_cum,off_dvoa_season,def_dvoa_season
2024,1,NO,3.9454198651612904,12.760839242000001,37.0,25.0,4.767348478,7.993490764,37,25,62,0.12884725616216217,0.31973963056,0.20581998777419358,0.5979834914619088,1.0960511064998861,-1.3564972667894737,0.46774193548387094,0.13513513513513514,0.08,26.697909599,20.0,35.0,8.230615071999999,18.467294527,20,35,55,0.41153075359999997,0.5276369864857143,0.48541653816363634,-2.046431133647336,-2.5794506669403865,-0.6695577423076924,0.2909090909090909,0.0,0.05714285714285714,0.0,0.05454545454545454,8.3153747972321,21.538790046486735,8.3153747972321,21.538790046486735,-39.019523215148844,-42.85582349267127,-3.462056835216516,-2.4713595396633345
2024,2,NO,0.8655530664150944,24.446380553,36.0,17.0,10.420550818,14.025829735,36,17,53,0.2894597449444445,0.8250488079411765,0.461252463264151,0.7665487962276719,7.053655971008789,5.9678961202727265,0.5849056603773585,0.1388888888888889,0.17647058823529413,11.170714533,21.0,44.0,0.5504379059999998,10.620276626999999,21,44,65,0.026211328857142845,0.24136992334090906,0.17185714666153845,-1.304796531066649,0.1844689427939699,-0.03696907996428583,0.38461538461538464,0.0,0.045454545454545456,0.018867924528301886,0.03076923076923077,17.430039791181052,10.57762473017392,12.872707294206576,16.058207388330327,-34.46219071817437,-48.33640615082772,-3.462056835216516,-2.4713595396633345
2024,3,NO,-2.8880110654545454,-11.135703121999999,28.0,27.0,-11.720252795,0.5845496729999997,28,27,55,-0.41858045696428575,0.021649987888888878,-0.20246732949090906,-1.2658504957063492,-1.1853771762168737,-2.2430541038571428,0.2909090909090909,0.03571428571428571,0.07407407407407407,-2.1065594620000008,23.0,42.0,-7.155128307,5.048568844999999,23,42,65,-0.3110925350869565,0.1202040201190476,-0.03240860710769232,3.1516372931914134,1.2913358884175583,0.7276510428965517,0.4307692307692308,0.21739130434782608,0.11904761904761904,0.01818181818181818,0.03076923076923077,-15.50504542128478,1.2557608489533325,3.4134563890427905,11.124058541871328,-43.92144162333815,-53.27055499728673,-3.462056835216516,-2.4713595396633345
2024,4,NO,2.5250172614285713,4.210411415999999,33.0,37.0,4.319097687,-0.10868627099999983,33,37,70,0.1308817480909091,-0.0029374667837837793,0.06014873451428569,-0.042927190261609835,0.16205502258287152,-1.2530496566071427,0.5,0.12121212121212122,0.02702702702702703,-1.0045437259999992,15.0,36.0,-2.073740383,1.069196657,15,36,51,-0.13824935886666667,0.029699907138888888,-0.019696935803921553,0.7522208135709271,-0.9936377903414285,-1.0436373615238095,0.4117647058823529,0.2,0.08333333333333333,0.014285714285714285,0.0196078431372549,1.8593036482448673,-4.661603059490565,3.02491820384331,7.177643141530856,-44.309979808537626,-57.216970397627186,-3.462056835216516,-2.4713595396633345
2024,5,NO,2.030315147843137,-5.084883060000001,15.0,36.0,-2.428565491,-2.6563175690000005,15,36,51,-0.16190436606666667,-0.07378659913888891,-0.09970358941176473,-1.9199900056644583,-3.11914000027662,-1.7066410986,0.35294117647058826,0.0,0.05555555555555555,-11.341571788,36.0,41.0,-8.391460234,-2.950111554,36,41,77,-0.23309611761111113,-0.07195394034146341,-0.1472931401038961,-0.8156540821508034,2.332576242259657,2.540397007392857,0.5844155844155844,0.0,0.0975609756097561,0.0196078431372549,0.012987012987012988,-10.322047172614754,-11.592269142407183,0.35552512855169666,3.4236606847432483,-46.97937288382926,-60.97095285441479,-3.462056835216516,-2.4713595396633345
2024,6,NO,-7.151364557924243,-27.120002306,21.0,45.0,-4.212358797,-22.907643509,21,45,66,-0.20058851414285717,-0.5090587446444444,-0.4109091258484848,-0.5264964351619962,-0.8686986455636897,-0.4052923518636364,0.36363636363636365,0.047619047619047616,0.06666666666666667,-16.086279666,35.0,38.0,-12.876994836,-3.20928483,35,38,73,-0.36791413817142854,-0.08445486394736842,-0.22035999542465753,3.3125499532078337,1.9194440564828028,4.555130418083333,0.547945205479452,0.2857142857142857,0.13157894736842105,0.045454545454545456,0.0410958904109589,-15.433125014266967,-8.09536563172018,-2.2759165619180806,1.5038229653326767,-49.61081457429901,-62.890790573825385,-3.462056835216516,-2.4713595396633345
2024,7,NO,0.1578982522000005,-23.178870708999998,20.0,45.0,1.1873869410000006,-24.366257649999998,20,45,65,0.059369347050000035,-0.5414723922222222,-0.3565980109076923,0.07750826861429387,-1.3617937399994935,-2.02878395075,0.38461538461538464,0.15,0.022222222222222223,-7.355853694,33.0,26.0,-6.192109399,-1.1637442949999999,33,26,59,-0.18763967875757576,-0.04475939596153845,-0.12467548633898305,2.1783682389032992,-0.6553351616256908,0.21844517768749977,0.559322033898305,0.24242424242424243,0.11538461538461539,0.03076923076923077,0.01694915254237288,-10.335189676863672,-17.468856440978655,-3.4272412926245934,-1.2065598069975134,-50.762139305005526,-65.60117334615558,-3.462056835216516,-2.4713595396633345
2024,8,NO,-8.180368121764706,-13.552756358,21.0,47.0,-2.7097513020000004,-10.843005056,21,47,68,-0.1290357762857143,-0.23070223523404257,-0.19930524055882354,0.6531940558601194,-0.5135448111492222,0.0892033418636363,0.3235294117647059,0.14285714285714285,0.10638297872340426,0.1320840590000003,28.0,35.0,2.2815170119999997,-2.149432953,28,35,63,0.08148275042857142,-0.061412370085714284,0.00209657236507937,-0.08588610086606728,1.1100351953138936,0.13248874655000004,0.31746031746031744,0.07142857142857142,0.11428571428571428,0.0,0.0,-3.5429060808888027,6.3317732675316325,-3.44169939115762,-0.26426817268137026,-50.77659740353855,-64.65888171183943,-3.462056835216516,-2.4713595396633345
2024,9,NO,-0.32998148613333345,9.619046284,41.0,34.0,7.358375642,2.260670642,41,34,75,0.17947257663414634,0.066490313,0.12825395045333332,-0.0022156935315587965,0.4781615420301272,3.0614402594444448,0.4533333333333333,0.0975609756097561,0.08823529411764706,0.38485882000000016,21.0,28.0,-0.17414427300000002,0.5590030930000004,21,28,49,-0.008292584428571429,0.01996439617857144,0.007854261632653065,-0.14004100983157064,-0.3666219930012993,0.2782810978749998,0.3877551020408163,0.09523809523809523,0.10714285714285714,0.0,0.02040816326530612,10.810125929136118,5.75654995590479,-1.8581632444583154,0.4047116193837586,-49.193061256839236,-63.9899019197743,-3.462056835216516,-2.4713595396633345
2024,10,NO,2.3666115368627447,0.19647551399999963,26.0,25.0,-6.0263815030000005,6.222857017,26,25,51,-0.23178390396153847,0.24891428068,0.003852461058823522,-0.4635381874956509,3.600517285225511,3.9003967651875002,0.37254901960784315,0.07692307692307693,0.2,-5.3829076659999995,32.0,41.0,-6.628354158,1.2454464920000001,32,41,73,-0.2071360674375,0.030376743707317078,-0.07373846117808218,0.8941959684153697,0.0604978532400201,-1.658742883043478,0.5205479452054794,0.0625,0.12195121951219512,0.0,0.0136986301369863,10.605039202531769,-13.744757515740282,-0.611842999759307,-1.0102352941286454,-47.94674101214025,-65.4048488332867,-3.462056835216516,-2.4713595396633345
